year,value,GCP
1959,2.45,2014
1960,2.57,2014
1961,2.58,2014
1962,2.69,2014
1963,2.83,2014
1964,3.00,2014
1965,3.13,2014
1966,3.29,2014
1967,3.39,2014
1968,3.57,2014
1969,3.78,2014
1970,4.05,2014
1971,4.21,2014
1972,4.38,2014
1973,4.61,2014
1974,4.62,2014
1975,4.60,2014
1976,4.86,2014
1977,5.03,2014
1978,5.09,2014
1979,5.37,2014
1980,5.32,2014
1981,5.15,2014
1982,5.11,2014
1983,5.09,2014
1984,5.28,2014
1985,5.44,2014
1986,5.61,2014
1987,5.75,2014
1988,5.97,2014
1989,6.10,2014
1990,6.13,2014
1991,6.22,2014
1992,6.16,2014
1993,6.16,2014
1994,6.27,2014
1995,6.40,2014
1996,6.54,2014
1997,6.65,2014
1998,6.64,2014
1999,6.61,2014
2000,6.77,2014
2001,6.93,2014
2002,7.00,2014
2003,7.42,2014
2004,7.81,2014
2005,8.09,2014
2006,8.37,2014
2007,8.57,2014
2008,8.78,2014
2009,8.74,2014
2010,9.17,2014
2011,9.46,2014
2012,9.67,2014
2013,9.86,2014
1959,2.42,2019
1960,2.55,2019
1961,2.56,2019
1962,2.65,2019
1963,2.80,2019
1964,2.94,2019
1965,3.08,2019
1966,3.22,2019
1967,3.33,2019
1968,3.51,2019
1969,3.74,2019
1970,4.05,2019
1971,4.21,2019
1972,4.41,2019
1973,4.64,2019
1974,4.62,2019
1975,4.62,2019
1976,4.86,2019
1977,5.00,2019
1978,5.18,2019
1979,5.32,2019
1980,5.29,2019
1981,5.15,2019
1982,5.11,2019
1983,5.16,2019
1984,5.31,2019
1985,5.50,2019
1986,5.58,2019
1987,5.76,2019
1988,5.98,2019
1989,6.07,2019
1990,6.20,2019
1991,6.33,2019
1992,6.13,2019
1993,6.20,2019
1994,6.24,2019
1995,6.38,2019
1996,6.58,2019
1997,6.61,2019
1998,6.59,2019
1999,6.67,2019
2000,6.87,2019
2001,6.92,2019
2002,7.07,2019
2003,7.41,2019
2004,7.76,2019
2005,8.02,2019
2006,8.29,2019
2007,8.54,2019
2008,8.73,2019
2009,8.61,2019
2010,9.05,2019
2011,9.35,2019
2012,9.50,2019
2013,9.54,2019
2014,9.61,2019
2015,9.62,2019
2016,9.66,2019
2017,9.77,2019
2018,9.98,2019
1959,2.416672802,2024
1960,2.561956989,2024
1961,2.56960757,2024
1962,2.660285798,2024
1963,2.802066652,2024
1964,2.954275682,2024
1965,3.086954269,2024
1966,3.237621813,2024
1967,3.339893361,2024
1968,3.522184244,2024
1969,3.755945767,2024
1970,4.066354923,2024
1971,4.231401397,2024
1972,4.428110439,2024
1973,4.662962036,2024
1974,4.642759739,2024
1975,4.654135542,2024
1976,4.909692158,2024
1977,5.04875388,2024
1978,5.204500693,2024
1979,5.351806848,2024
1980,5.318920417,2024
1981,5.191840824,2024
1982,5.150408817,2024
1983,5.183381668,2024
1984,5.362391217,2024
1985,5.543641273,2024
1986,5.626354583,2024
1987,5.79969285,2024
1988,6.027600986,2024
1989,6.109890141,2024
1990,6.2033265,2024
1991,6.328084455,2024
1992,6.148518568,2024
1993,6.210640553,2024
1994,6.275367603,2024
1995,6.422511737,2024
1996,6.620678889,2024
1997,6.659908762,2024
1998,6.633126996,2024
1999,6.78322262,2024
2000,6.962487117,2024
2001,7.015909784,2024
2002,7.171634478,2024
2003,7.551716646,2024
2004,7.814548562,2024
2005,8.082531141,2024
2006,8.359278412,2024
2007,8.606616821,2024
2008,8.753875153,2024
2009,8.60860315,2024
2010,9.103685437,2024
2011,9.417177434,2024
2012,9.552407299,2024
2013,9.634731399,2024
2014,9.675244199,2024
2015,9.662908562,2024
2016,9.666117925,2024
2017,9.822570381,2024
2018,10.02467974,2024
2019,10.12671339,2024
2020,9.586933986,2024
2021,10.09599789,2024
2022,10.1784488,2024
2023,10.31429277,2024
